Question,Starting Column,Variable Name,Field Length,DESC,Keep
0,1,_STATE,2,State,Yes
1,16,FMONTH,2,File_Month,Yes
2,18,IDATE,8,Interview_Date,Yes
3,18,IMONTH,2,Interview_Month,Yes
4,20,IDAY,2,Interview_Day,Yes
5,22,IYEAR,4,Interview_Year,Yes
6,31,DISPCODE,4,,No
7,35,SEQNO,10,SEQN,Yes
8,35,_PSU,10,Primary_Sampling_Unit,Yes
9,62,CTELENUM,1,,No
10,63,PVTRESD1,1,Private_Residence,Yes
11,64,COLGHOUS,1,College_Housing,Yes
12,65,STATERES,1,,No
13,66,CELLFON3,1,,No
14,67,LADULT,1,Is_Adult,Yes
15,68,NUMADULT,2,,No
16,70,NUMMEN,2,,No
17,72,NUMWOMEN,2,,No
18,80,GENHLTH,1,General_Health,Yes
19,81,PHYSHLTH,2,Physical_Health,Yes
20,83,MENTHLTH,2,Mental_Health,Yes
21,85,POORHLTH,2,Days_of_Poor_Health_past_30_days,Yes
22,87,HLTHPLN1,1,,No
23,88,PERSDOC2,1,,No
24,89,MEDCOST,1,,No
25,90,CHECKUP1,1,,No
26,91,SLEPTIM1,2,Sleep_per_day_hours,Yes
27,93,BPHIGH4,1,High_BP,Yes
28,94,BPMEDS,1,BP_Meds,Yes
29,95,BLOODCHO,1,Cholesterol_Awareness,Yes
30,96,CHOLCHK,1,Last_Cholesterol_Check,Yes
31,97,TOLDHI2,1,High_Cholesterol,Yes
32,98,CVDINFR4,1,Had_Heart_Attack,Yes
33,99,CVDCRHD4,1,Had_Heart_Disease,Yes
34,100,CVDSTRK3,1,Had_Stroke,Yes
35,101,ASTHMA3,1,,No
36,102,ASTHNOW,1,,No
37,103,CHCSCNCR,1,,No
38,104,CHCOCNCR,1,,No
39,105,CHCCOPD1,1,,No
40,106,HAVARTH3,1,,No
41,107,ADDEPEV2,1,,No
42,108,CHCKIDNY,1,,No
43,109,DIABETE3,1,Had_Diabetes,Yes
44,146,VETERAN3,1,Served_on_Active_Duty,Yes
45,147,MARITAL,1,Marital,Yes
46,148,CHILDREN,2,Number_of_Children,Yes
47,150,EDUCA,1,Educatio_Level,Yes
48,151,EMPLOY1,1,Employment,Yes
49,152,INCOME2,2,Income,Yes
50,154,WEIGHT2,4,Weight,No
51,158,HEIGHT3,4,Height,No
52,170,NUMHHOL2,1,,No
53,171,NUMPHON2,1,,No
54,172,CPDEMO1,1,,No
55,173,CPDEMO4,3,,No
56,176,INTERNET,1,,No
57,177,RENTHOM1,1,,No
58,178,SEX,1,Gender,Yes
59,179,PREGNANT,1,,No
60,180,QLACTLM2,1,Limited_physical_activity,Yes
61,181,USEEQUIP,1,Uses_special_equipment,Yes
62,182,BLIND,1,,No
63,183,DECIDE,1,Difficulty_decision_making,Yes
64,184,DIFFWALK,1,Difficulty_walking__climbing,Yes
65,185,DIFFDRES,1,Difficulty_dressing__bathing,Yes
66,186,DIFFALON,1,Difficulty_running_errands,Yes
67,187,SMOKE100,1,Smoke_GT_100_cigarettes,Later
68,188,SMOKDAY2,1,Smoke_current_status,Later
69,189,STOPSMK2,1,Smoke_tried_to_quit,Later
70,190,LASTSMK2,2,Smoke_time_since_last_smoke,Later
71,192,USENOW3,1,Smoke_now,Later
72,193,ALCDAY5,3,Alcohol_Frequency,No
73,196,AVEDRNK2,2,Alcohol_Drinks_per_occasion,Yes
74,198,DRNK3GE5,2,Alcohol_Binge_days_per_month,Yes
75,200,MAXDRNKS,2,Alcohol_Max_drinks_in last_month,Yes
76,202,FRUITJU1,3,Nutrition_Fruit_juice_consumption,No
77,205,FRUIT1,3,Nutrition_Fruit_consumption,No
78,208,FVBEANS,3,Nutrition_Beans_consumption,No
79,211,FVGREEN,3,Nutrition_Greens_consumption,No
80,214,FVORANG,3,Nutrition_Orange_veg_consumption,No
81,217,VEGETAB1,3,Nutrition_Other_veg_consumption,No
82,220,EXERANY2,1,Exercise,Yes
83,221,EXRACT11,2,Physical_activity_1,Yes
84,223,EXEROFT1,3,Physical_activity_1__frequency,No
85,226,EXERHMM1,3,Physical_activity_1__duration,Yes
86,229,EXRACT21,2,Physical_activity_2,Yes
87,231,EXEROFT2,3,Physical_activity_2__frequency,No
88,234,EXERHMM2,3,Physical_activity_2__duration,Yes
89,237,STRENGTH,3,Strength_Activity_Weekly_frequency,No
90,240,LMTJOIN3,1,,No
91,241,ARTHDIS2,1,,No
92,242,ARTHSOCL,1,,No
93,243,JOINPAIN,2,,No
94,245,SEATBELT,1,,No
95,246,FLUSHOT6,1,,No
96,247,FLSHTMY2,6,,No
97,253,TETANUS,1,,No
98,254,PNEUVAC3,1,,No
99,255,HIVTST6,1,,No
100,256,HIVTSTD3,6,,No
101,262,WHRTST10,2,,No
102,270,PDIABTST,1,,Later
103,271,PREDIAB1,1,,Later
104,272,DIABAGE2,2,,Later
105,274,INSULIN,1,,Later
106,275,BLDSUGAR,3,,Later
107,278,FEETCHK2,3,,Later
108,281,DOCTDIAB,2,,Later
109,283,CHKHEMO3,2,,Later
110,285,FEETCHK,2,,Later
111,287,EYEEXAM,1,,Later
112,288,DIABEYE,1,,Later
113,289,DIABEDU,1,,Later
114,290,PAINACT2,2,,No
115,292,QLMENTL2,2,,No
116,294,QLSTRES2,2,,No
117,296,QLHLTH2,2,,No
118,298,MEDICARE,1,,No
119,299,HLTHCVRG,14,,No
120,313,DELAYMED,1,,No
121,314,DLYOTHER,25,,No
122,339,NOCOV121,1,,No
123,340,LSTCOVRG,1,,No
124,341,DRVISITS,2,,No
